Name, ID, Game Mode, Latency, Scoreboard Team, Model Type, Session ID, Public Key
Prowler6, b70ca8ae-8f01-3d68-ad30-28f85ff01cd2, SURVIVAL, 85, <Prowler6A, slim
spiceDROCHER666, 6f2968da-f926-3546-9954-2adf10f041ea, SURVIVAL, 69, UspiceDROCHER66A, default
mrRamontal, b16c012d-b87e-3470-8959-51fbe875879b, SURVIVAL, 79, UmrRamontalA, default
Kirill_Politik, 5df3e81c-c86c-392d-b07b-24e88485315d, SURVIVAL, 69, FKirill_PolitikA, slim
MrVlad001, f40c9683-8081-34ed-bec7-d6bf23f87fa5, SURVIVAL, 559, UMrVlad001A, slim
Kirillivanuk, 57a1d1df-fdfa-3726-976c-611bb077a92a, SURVIVAL, 91, UKirillivanukA, slim
bholon, de6e7594-930c-36f1-b78a-1b1c43d28788, SURVIVAL, 66, UbholonA, slim
_StepIch_, 6ab05fb0-4cae-30a7-afc6-cddd4e092370, SURVIVAL, 119, Q_StepIch_A, slim
_Jake_maks_, 4bb9a3a0-c783-3853-a475-36e4c3257051, SURVIVAL, 54, U_Jake_maks_A, default
TheWyFlay, f36444b4-f737-309d-8c89-54b8b8e9b3ed, SURVIVAL, 63, OTheWyFlayA, default
shikki, 7b147e39-9b08-39e1-8af3-49faaf383aa9, SURVIVAL, 309, UshikkiA, default
ExtraArtyom, 22d21557-3e8a-3043-a795-9f5f2f588503, SURVIVAL, 254, SExtraArtyomA, slim
Reamt, 646f33b6-822c-4281-b36d-78720b6c4919, SURVIVAL, 85, UReamtA, slim
